names,authors,descrips,paragraphs
Just Another Rotten Flesh to Leather Mod,456Xander,"Client and server, Utility, Forge",Allows you to convert rotten flesh to leather.
Biome Fog,Steveplays,"Client, Adventure, Decoration, Game Mechanics, Fabric, Quilt",Adds unique fog to a bunch of biomes!
TP Utils,Sjouwer,"Client, Transportation, Utility, Fabric, Quilt","Client side teleportation utility mod that makes it much easier to get around. It includes, among other things, improved WorldEdit teleports."
Trigger-Happy,elidhan,"Client and server, Equipment, Fabric",Vanilla-friendly guns for Fabric
ConfigLib148,SuperPro148,"Client and server, Library, Fabric",A crappy config library.
Polydex,Patbox,"Server, Utility, Fabric, Quilt",Target block/entity tooltip and recipes in one ui mod for servers!
Fast Items,Noryea,"Client, Decoration, Utility, Fabric",Optimize item rendering by transforming item entities to 2D
Engineer's Decor,stfwi,"Client and server, Decoration, Technology, Forge","Adds cosmetic blocks for the engineer's workshop, factory and home."
Set World Spawn Point,Serilum,"Server, Utility, World Generation, Fabric, Forge, NeoForge, Quilt",?? Allows setting an exact custom spawn point for (newly) created worlds and spawn tweaks.
Custom Splash Screen (Multiplatform Fork),teddyxlandlee,"Client, Decoration, Utility, Fabric, Forge, Quilt",Change minecraft's loading screen to your liking! Completely configurable!
DualWielding,Globox1997,"Client and server, Game Mechanics, Fabric",Dual wield your weapons
Somnia Awoken,Su5eD,"Client and server, Utility, Forge",Simulating the world while you sleep
CPSDisplay,Dams4K,"Client, Decoration, Utility, Forge",CPSDisplay (or CPSMod) shows your in-game cps and allows you to customize many things
Creatures and Beasts,Joo5h,"Client and server, Mobs, Forge","Creatures and Beasts is a fantasy creature mod which fills each biome with new mobs, from the plains of the overworld to the void of the end!"
Euphonium,sisby-folk,"Client, Decoration, Fabric, Forge, Quilt",Ambient sounds based on biome and world features - a backfork of Charmonium.
Mobs Attempt Parkour,Barribob,"Server, Fabric",Gives certain mobs the ability to jump over things
Multiplayer Server Pause,iChun,"Client and server, Optimization, Utility, Fabric, Forge",Pauses servers when all connected clients are paused.
Outvoted,How-Bout-No,"Client and server, Adventure, Equipment, Fabric, Forge",Adds in scrapped ideas from past Minecon votes
WorldEdit CUI (Forge),Zbx1425,"Client, Management, Utility, Forge","A graphical user interface for WorldEdit, designed to assist in using WorldEdit, as well as preventing accidental errors."
PangTeen's Plants vs Zombies,PangTeen,"Client and server, Adventure, Mobs, World Generation, Forge",Bring Plants vs Zombies into Minecraft
Plethora Peripherals,Lemmmy,"Client and server, Technology, Fabric",Plethora is a ComputerCraft/CC: Tweaked peripheral provider. It aims to provide both metadata and peripherals for vanilla Minecraft and mainstream mods.
Just Load,trufflezmc,"Client, Optimization, Utility, Fabric",Skips the title screen entirely and loads straight into a singleplayer world.
Many Flowers,GalievDev,"Client and server, Adventure, Decoration, World Generation, Fabric",Many new flowers!
Skylands,PinkGoosik,"Server, Management, Minigame, World Generation, Fabric, Quilt",Simple server-side fabric skyblock islands generator and manager.
Way Much Faster Oxidize,MarbleGateKeeper,"Client and server, Game Mechanics, Fabric, Forge, Quilt",Copper oxidizes faster when next to water
Plants vs Zombies: Reimagined,SpookiKabuki,"Client or server, Adventure, Mobs, World Generation, Forge",What makes this Plants vs Zombies mod different from other PvZ mods is that I made the plants into usable items/weapons/armor to make Minecraft's combat more interesting. As well as added new zombies based on zombies from the PvZ franchise.
MCCI Utils,TheMysterys,"Client, Utility, Fabric",A utility mod for the minecraft server MCC Island  (Discontinued)
Smooth Scroll,SmajloSlovakian,"Client, Decoration, Optimization, Utility, Fabric, Quilt","Works on chat, hotbar, creative inventory and much more!"
Gothic RPG,NoCube,"Client and server, Adventure, Mobs, World Generation, Forge",Adds dark fantasy creatures and content from Gothic series. Vanilla style.
Chocolate Bar,woodiertexas,"Client and server, Food, Fabric, Quilt",A little mod that adds a ?? to Minecraft.
GLdown,triphora,"Client, Cursed, Utility, Fabric, Quilt",Drops the required OpenGL version to 3.1. By ReeceXW
Echoes of the Past,HyperPigeon,"Client and server, Storage, Transportation, Utility, Fabric, Quilt",A mod that adds a new item - the Echo Clock - to Minecraft.
NotifMod,811Alex,"Client, Equipment, Utility, Fabric",Get notifications when certain things happen!
UMU Little Maid,Zemelua,"Client and server, Adventure, Mobs, Fabric",UMU Little Maid is a new little maid mod based on LittleMaidMob!
CIT Resewn JSONLagPatch,Mithaldu,"Client, Utility, Fabric","CIT Resewn, but patched to remove lag with Hypixel+ Skyblock. Will be deleted once CIT Resewn is updated."
Iron Bookshelves,jahirtrap,"Client and server, Magic, Utility, Fabric, Forge, NeoForge, Quilt",Bookshelves with more enchantment power
Walkie-Talkie,Flaton,"Client and server, Adventure, Social, Utility, Fabric, Forge",Adds two-way radios with different upgrades.
Lot's More Food,legopitstop,"Client and server, Food, Fabric, Forge","Lots More Food is now available for Forge! Adds over 200+ foods, tools, and items!"
Spellbound Enchantments,TigerOfTroy,"Client and server, Equipment, Magic, Utility, Fabric",Empower and expand your arsenal with 39 new enchantments.
Wild Tool Access,TrueHorse,"Client, Utility, Fabric, Forge","Adds an item quick select, inspired by the one in ""Zelda: Breath of the Wild""."
CloudSettings,charismara,"Client, Utility, Fabric, Forge, NeoForge, Quilt",A simple mod that synchronize your options.txt to other modpack instances
AdvancedChatFilters,DarkKronicle,"Client, Social, Utility, Fabric, Quilt",Filter text in Minecraft chat with many options
Banner Bedsheets,rein-hub,"Decoration, Utility, Data Pack, Fabric, Forge, Quilt",Customize your bedsheets with any banner design!  Make your bed stand out!
Villager Converting,Roundaround,"Server, Utility, Fabric, Quilt",Villagers attacked by zombies always get converted instead of dying.
ArmorTweaks,Blumbo,"Server, Equipment, Game Mechanics, Fabric, Quilt",Different armor and damage mechanics that make make survival more suitable for PvP.
Macaw's Roofs - Biomes O' Plenty,Samlegamer,"Client and server, Forge",Add wood variants from Biome O' Plenty to Macaw's Roofs.
qraftyfied,qrafty,"Adventure, World Generation, Data Pack, Fabric, Forge, Quilt","Minecraft lacks the fun of exploring, so this mod (also available as a datapack) adds many vanilla-ish structures, villages and dungeons to your minecraft world! Balanced loot is included. ????"
Phonos,FoundationGames,"Client and server, Technology, Utility, Fabric, Quilt",Broadcast sound throughout your Minecraft world!
Stat Tinkerer,Terrails,"Client and server, Game Mechanics, Fabric, Forge, NeoForge, Quilt","Keep various stats on death, prevent eating and tinker with vanilla health system to make it harder."
Bodies! Bodies!,GabrielOlvH,"Client and server, Game Mechanics, Storage, Utility, Fabric","No more items despawning, if you die, your dead body will lay on the cold hard ground waiting for you."
Mob Battle Mod,flemmli97,"Client and server, Game Mechanics, Mobs, Utility, Fabric, Forge",Creative utensils in creating mob battles
RemoveHUD,IzzyDotExe,"Client, Utility, Fabric",Take control over the in-game HUD
ComBit,JFronny,"Server, Cursed, Fabric",Configurable tweaks for combat-related mechanics
NoChatLag,NoahvdAa,"Client, Utility, Fabric, Forge, Quilt",NoChatLag fixes lagspikes caused by chat by checking the blacklist on a different thread.
Quality of Life (QoL) Fixes,spoorn,"Server, Management, Optimization, Utility, Fabric","Various Quality of Life changes on the Fabric loader, fully configurable"
pv-addon-groups,kpids,"Server, Game Mechanics, Social, BungeeCord, Fabric, Forge, Paper, Spigot, Velocity",Create group voice chat channels. Keep talking with players far away.
Touhou Origins: Blessings,Maxmani,"Client and server, Adventure, Fabric, Quilt",An add-on for the Origins mod which adds blessings inspired by the Touhou Project series
Guns Without Roses,Lykrast,"Client and server, Equipment, Forge",Simple Terraria-like guns and bullets to go with them. Does not add roses.
Creative Block Replacer,Serilum,"Server, Decoration, Utility, Fabric, Forge, NeoForge, Quilt",?? Allows easy switching in between placing and replacing blocks in creative mode.
MegaParrot,skylorbeck,"Client and server, Food, Mobs, Transportation, Fabric","Adds super-sized, rideable, parrots!"
Missiles,off,"Equipment, Social, Technology, Data Pack, Fabric, Forge, Quilt","The #1 ICBM mod that adds realistic nuclear missiles, radars and explosions to the game!"
Omega Mute,Serilum,"Client, Management, Utility, Fabric, Forge, NeoForge, Quilt",? The only mod you'll need to have full control over individual in-game sound.
Sneak Tweak,Lortseam,"Client, Game Mechanics, Fabric",Tweaks the sneak animation
Banilla Claws,theoness1,"Client and server, Equipment, Fabric, Quilt",A mod that adds vanilla-styled claws.
ArmorHUD (Fabric),SuperPro148,"Client, Utility, Fabric",A simple HUD to show what armor you're wearing
Axel's Tables and Chairs,Chuckchuk,"Decoration, Social, Data Pack, Fabric, Forge, Quilt","A Datapack that adds Modular, Functional, and Customizeable Tables and Chairs to your Minecraft Single or Multiplayer world!"
Lil' Wings,Terrarium,"Client and server, Mobs, Fabric, Forge","This mod adds 12 new butterflies, 50+ new items, and a handful of blocks that lighten up your world with new butterfly related content to play with."
Flame Sweeping,Chemiofitor,"Server, Game Mechanics, Fabric",Make sweeping attack compatible with the Fire Aspect enchantment!
Legacy Bows,SmushyTaco,"Client and server, Fabric",Bring back the old legacy machine gun bows! This mod also works for crossbows and both of them can be enabled and disabled in the config!
Hbm's Nuclear Tech - Extended Edition,Alcatergit,"Client and server, Game Mechanics, Technology, World Generation, Forge","A 1.12.2 mod about technology, atomic science and nuclear weapons"
Brainier Bees,dopadream,"Server, Game Mechanics, Mobs, Fabric, Quilt",Refactors and improves Bee behavior in the modern Brain AI system
CTOV - Savage and Ravage Compat,ChoiceTheorem,"Adventure, Game Mechanics, World Generation, Data Pack, Forge",Compatibility datapack between ChoiceTheorem's overhauled village and Savage and Ravage mod
Raided,Mrbysco,"Client and server, Mobs, Forge, NeoForge",Expands upon the vanilla raid system to allow for more advanced raid mechanics
Stronger Snowballs,Darkhax,"Client and server, Equipment, Magic, Fabric, Forge, Quilt",Makes snowballs stronger.
VersionChanger,JFronny,"Client and server, Cursed, Utility, Fabric",Change the displayed minecraft version
MoreLeads,cnlimiter,"Server, Adventure, Utility, Fabric, Forge",A mod allows you to lead on more entities.
Distant Friends,Mrbysco,"Client and server, Mobs, Forge",Player like mobs that look at you from a distance
Colorful Anvils,rogi27,"Server, Equipment, Game Mechanics, Utility, Fabric, Quilt",?? Use large variety of colors in anvils
Perspective,MCLegoMan,"Client, Utility, Fabric, Quilt","Perspective allows you to zoom, hold/set perspectives, and use super secret settings."
Wake Up Time,triphora,"Client, Utility, Fabric, Quilt",Figure out what stage of the day (work cycle) your villagers are in
Time Stop Clock,Suel_ki,"Client and server, Magic, Fabric, Forge, NeoForge",Let you control time in minecraft!
Consecration,TheIllusiveC4,"Client and server, Game Mechanics, Magic, Mobs, Fabric, Forge, Quilt","Makes the undead more resilient except against fire and holy damage, and adds new features to help you slay them."
????,EjGJtrYe,"Client, Utility, Fabric, Quilt",?????????????????????????????
MC Dungeons Weapons,chronosacaria,"Client and server, Adventure, Equipment, Magic, Fabric","Adds the weapons, tools and weapon enchantments from Minecraft Dungeons"
Unusual End,Sweetygamer2,"Client and server, Adventure, Equipment, World Generation, Forge",An Improved Vanilla+ End !
Better Respawn,henkelmax,"Server, Adventure, Utility, Fabric, Forge, NeoForge",This mod adds a mechanic that lets you respawn near your death location.
AutoRelog,Scubakay,"Client, Utility, Fabric",Automatically reconnect to a restarting server while AFK!
Yuushya Modelling,Coco,"Client and server, Decoration, Game Mechanics, Utility, Fabric, Forge","Added several tools to move, rotate or resize blocks like doing 3D modelling"
Travel Anchors,noeppi-noeppi,"Client and server, Transportation, Forge",Adds Travel Anchors from EnderIO.
Elytra Physics,OhHeyItsJosh,"Client, Decoration, Equipment, Fabric, Forge",A simple mod that adds cape-like physics to the elytra when worn by the player.
Trowel,TheEnderCore,"Client and server, Decoration, Game Mechanics, Utility, Fabric, Quilt",A very small QoL mod to make placing random blocks less tedious.
Hytools,udu3324,"Client, Utility, Forge",A mod that has useful tools for Hypixel
Productive Bees,LobsterJonn,"Client and server, Technology, Forge, NeoForge",Get your resource fix from bees
qrafty's End Villages,qrafty,"Adventure, World Generation, Data Pack, Fabric, Forge, Quilt","The end biome is too empty, so this datapack/mod adds end relicts from another time/dimension with balanced loot! ??"
PatPatPat,mikhailtapio,"Client and server, Mobs, Utility, Fabric, Forge, Rift, Spigot",Pat your pets!
CoffeeG's Wall Climbing,ScadeBlock,"Equipment, Game Mechanics, Utility, Data Pack, Fabric, Forge, Paper, Quilt, Spigot",Add Wall Climb mechanic to minecraft
ChatTriggers,FalseHonesty,"Client, Library, Utility, Fabric, Forge",A framework for Minecraft Forge that allows for client modifications to be scripted in JavaScript
ThatOrThis,EZForever,"Client or server, Cursed, Utility, Fabric",A Fabric mod for choosing between sets of Fabric mods.
Caffeinated,Chikorita-Lover,"Client and server, Food, Fabric","A vanilla-style mod that adds coffee, a new crop with unique uses!"
Level Up,Zensiert,"Adventure, Game Mechanics, Social, Data Pack, Fabric, Forge, Quilt",Level Up is a Skill Datapack. Level your Skills by playing.
FZMM,Zailer43,"Client, Utility, Fabric",A fabric mod that is mainly for editing or creating NBT of items in creative but it also has a few utilities
GrabcraftLitematic,Giselbaer,"Client, Utility, Fabric",Import GrabCraft builds into Litematica
AvM mod,AlmerMinecrafter,"Server, Equipment, Food, Magic, Fabric","The popular ""Animation vs. Minecraft"" franchise is in real Minecraft!"
MCG,AMereBagatelle,"Client, Utility, Fabric",Stores coordinates in an easy-to-access way.
Unofficial Monumenta Mod,Njol,"Client, Fabric",An unofficial client-side mod for the Monumenta MMO server (www.playmonumenta.com).
Full Turtle Armor,Jackbusters,"Client and server, Adventure, Equipment, Game Mechanics, Fabric, Forge, NeoForge, Quilt",Completes the turtle armor set. Forge & Fabric
Shearable Vines,Roundaround,"Client and server, Utility, Fabric, Quilt",Use shears on vines to stop them from growing!
Mimic,lukegrahamlandry,"Client and server, Fabric, Forge, Quilt",A stealthy mob that pretends to be a chest
Death Animations [WIP],Tschipcraft,"Decoration, Game Mechanics, Mobs, Data Pack, Fabric, Forge, Quilt",Mobs have new epic animations when they die! Inspired by iChun's Mob Dismemberment.
Rand'Ore,Flamarine,"Client and server, Cursed, Technology, World Generation, Fabric, Forge, Quilt",Simple random ore mod for Fabric/Forge/Quilt with configurable ore generation.
Aftershock,AzureDoom,"Client and server, Mobs, Fabric, Forge, Quilt","Based on the Tremor series, this mod adds the Precambrian monsters of the deep into your Minecraft experience!"
OptimizationsAndTweaks,quentin452,"Client and server, Optimization, Forge",Mod that add some Optimizations/Bugfix/Tweakings for minecraft 1.7.10 and mods
Screencapper,deftu,"Client, Game Mechanics, Social, Utility, Fabric",A highly advanced screenshot improvement mod.
Dynamic Trees +,MaxHyper,"Client and server, Decoration, World Generation, Forge",More than just trees!
Origins Randomiser,QuantumXenon,"Client and server, Adventure, Fabric, Forge, Quilt",Highly configurable mod that assigns you a random origin every time you die.
Macaw's Fences - Biomes O' Plenty,Samlegamer,"Client and server, Forge",Add wood variants from Biome O' Plenty to Macaw's Fences.
Skyblock Utils,mastermindgolem,"Client, Economy, Forge","A Hypixel Skyblock Mod that at the moment, primarily helps price attribute items a lot more accurately, allowing you to more easily sell things and to know whether you are making profit in Kuudra."
MomentariyModder' Applications,MomentariyModder,"Client and server, Library, Fabric, Forge, NeoForge, Quilt",Core for MomentariyModder mods
No LAN Cheating,NyCode,"Client, Utility, Fabric, Quilt",Prevents you from cheating with configurable ways of disabling the lan world cheat button.
Osmium,Lobstershack,"Client, Utility, Fabric","Osmium adds quality of life features to mincraft, much like popular PvP clients. For fabric 1.17 and above."
Doggo Mod,LordMrK,"Client, Fabric",Changes the behavior of Minecraft dogs (tamed wolves) to allow them to have more of a personality.
Trees Do Not Float,grondag,"Server, Utility, Fabric, Forge, Quilt",Annoyed by trees that don't respect the fundamental laws of physics? Put those trees in their place with Trees Do Not Float!
MC-249136 Fix,fennifith,"Server, Optimization, Utility, Fabric, Quilt",A hacky fix for server lag spikes when generating shipwreck buried treasure map / explorer map loot.
LittlePictureFrames,creativemd,"Client and server, Decoration, Forge, NeoForge",Display all kinds of pictures and videos from the internet ingame.
Flaming,SHEEPS_JUN,"Server, Game Mechanics, Utility, Fabric, Forge, NeoForge","This module makes some wood products and similar wood products that cannot be used as fuel in the original version become fuel again, and adds fuel expansion."
Mbembe,Arathain,"Client and server, Adventure, Utility, Fabric, Quilt",100% totally serious cryptid mod
Lifts,D4rkness_King,"Client and server, Technology, Utility, Fabric",A technology mod that adds various lifts for better vertical traversal inside your world.
No Roman Numerals [NRN],woulvee,"Client, Utility, Fabric",This mod removes Roman numerals from the game and replaces them with Arabic numerals. It even changes the hardcoded Beacon numeral.
Palette 256 - Simple Colored Blocks,frikinjay,"Client and server, Decoration, Utility, Fabric, Quilt",A total of 256 simple colored blocks to go crazy with.
Ultimate Plane Mod,henkelmax,"Client and server, Adventure, Technology, Utility, Forge, NeoForge",Planes in Minecraft
Lychee,Snownee,"Client and server, Game Mechanics, Library, Fabric, Forge, NeoForge, Quilt","Define in-world crafting & interactions using JSON recipes. item interaction, burning, touching fluid, anvil, crushing, lightning, exploding..."
Forestry,ramidzkh,"Client and server, Adventure, Library, Technology, Forge","Trees, bees and more."
Miner's Helmet,ModdingLegacy,"Client and server, Equipment, Forge",A mod that simply adds a helmet with dynamic lighting.
TIS-3D,Sangar,"Client and server, Technology, Fabric, Forge",Low-tech computing for Minecraft
Random Mob Sizes,Buecher_wurm,"Client and server, Adventure, Mobs, Fabric, Forge",configure mobs to spawn in different sizes
Modular Golems,lcy0x1,"Client and server, Equipment, Mobs, Utility, Forge, NeoForge",Tinker style modularized metal golems
Tape Stop,KrLite,"Client, Optimization, Utility, Fabric, Quilt",Prevents Anything from Rendering as You Leave!
Endgame Reborn Knives,Rebel459,"Client and server, Fabric",Adds Farmer's Delight Knife variants to Endgame Reborn
Path Under Fence Gates,Steveplays,"Client and server, Decoration, Utility, Fabric, Quilt","Allows you to make dirt paths under fence gates, and more!"
Pure Chaos,Blackout,"Client and server, Adventure, Equipment, World Generation, Forge",Pure Chaos is an addon for the Chaos Awakens mod. It adds a new ore for after ultimate gear.
World Specific View Distance,BasiqueEvangelist,"Server, Management, Optimization, Utility, Fabric, Quilt",Set view distance per dimension to preserve server resources.
Know My Name!,possible_triangle,"Server, Utility, Fabric",Fixes nameable containers not telling clients their name when joining
QDAA,unascribed,"Client, Decoration, Fabric, Quilt","Quick & dirty antialiasing, based on supersampling (2xSSAA)"
Arcane Lanterns,Fuzs,"Client and server, Magic, Fabric, Forge",Imbue a lantern with different catalysts to manipulate its effects!
Realistic Fishing,Pyxrs,"Server, Game Mechanics, Mobs, Utility, Fabric, Quilt",Fish are reeled in alive! Gut them yourself or scoop them up in a bucket
Super Powers,LordGacie,"Adventure, Equipment, Magic, Data Pack, Fabric, Forge, Quilt","SVM Powers is a Super Power datapack adding a variety of content such as: new items, mobs, structures, custom progression system and new epic abilities!"
Monobank,mortuusars,"Client and server, Adventure, Economy, Storage, Forge",Your personal safe* storage.
Minitweaks,manyrandomthings,"Server, Game Mechanics, Utility, Fabric","Carpet extension with small game mechanic changes, mainly for survival"
WorldGen,caeruleusDraconis,"Client, Utility, World Generation, Fabric, Forge","WorldGen is a mod for pre-generating Minecraft worlds, with a main focus on SPEED."
AE2 Additional Opportunity,Domaman202,"Client and server, Storage, Technology, Utility, Fabric, Forge",Get to know AE2 in a new way!
ShieldDisruptor,MightyKnight,"Client, Equipment, Utility, Fabric, Quilt",A simple fabric mod to hide shields while not defending or to hide other offhand items
ViaForge,FlorianMichael,"Client, Cursed, Utility, Forge",Client-side ViaVersion implementation for Forge
Wandering Bags,furti-two,"Client and server, Equipment, Utility, Forge",?? Add new lootbags with powerful relics inside !
Raw Input,seanld03,"Client, Optimization, Utility, Forge",Raw mouse input for 1.12.2 and 1.7.10
Manure,Serilum,"Client and server, Game Mechanics, Mobs, Fabric, Forge, NeoForge, Quilt","?? Animals periodically drop manure, by default twice a day. Can be used as a bone meal substitute."
Bundle Jumble,Strubbelkopp,"Client and server, Equipment, Utility, Fabric, Quilt",Place blocks from your bundle randomly to assist in building
Fancy Dyes,Haizor,"Client and server, Decoration, Fabric, Forge",Adds special dyes that can be used to customize your equipment.
Does Potato Tick?,Kasualix,"Server, Optimization, Fabric, Forge, Quilt","fork of abandoned Does It Tick, rework codes & delete some incompatible features & retain its core features & make it more configurable & add some new things."
Age of Weapons - Reforged,XxRexRaptorxX,"Client and server, Equipment, Game Mechanics, Technology, Forge, NeoForge",A mod that adds tons of new weapons based on time ages!
[Let's Do] NetherVinery,satisfyu,"Client and server, Adventure, Decoration, Food, Fabric, Forge",NetherVinery is an Addon all about the Nether for Vinery.
Compact Machines - Fabric,alphamode,"Client and server, Storage, Technology, Utility, Fabric, Quilt",Minecraft Mod. Adds one simple game mechanic: Small rooms inside of blocks.
Basalt Walker,hashtag233,"Client and server, Utility, Forge",New enchantment allows you to walk on lava.
Oxidizing Lightning Rods,nibaru,"Client and server, Decoration, Game Mechanics, Technology, Fabric",Makes Lightning Rods oxidize.
"Better ""Add Server""",Player005,"Client, Utility, Fabric, Quilt","Some small quality of life changes for the ""add server"" menu"
Where-Is-My-Stuff,AdelinaM17n,"Client, Utility, Fabric, Quilt","A simple mod that shows the coordinates of the location a player died in the death screen, and adds a button to copy the location to clipboard"
UnlimitedPeripheralWorks,SirEdvin,"Client and server, Technology, Fabric, Forge","Peripheral mod, that provides a lot extra features, new peripherals and even some items"
MoreVanillaTools,MelanX,"Client and server, Equipment, Forge",Tools made of vanilla material
Tinkers' Levelling Addon,Pyre540,"Client and server, Equipment, Magic, Technology, Forge",Tinkers' Construct addon that adds tool leveling system.
Progression Reborn Knives,Rebel459,"Server, Fabric",Adds Farmer's Delight knives for Progression Reborn gear.
Tinkers Reforged,mrthomas20121,"Client and server, Equipment, Forge",Add new Materials To Tinkers Construct
Larger Ore Veins: Nether,CodingLegend0100,"World Generation, Data Pack, Fabric, Forge, Quilt",Very slightly increases the generation of ancient debris
CraftingPad,Giselbaer,"Client and server, Equipment, Utility, Fabric",Adds a portable crafting table to the game
Better Withered Mobs,SmushyTaco,"Client and server, Fabric","This mod adds Withered Bones, Withered Bone Meal, Withered Bone Blocks, a Potion of Decay, and a Withering enchantment!"
WynnLib,nbcss,"Client, Game Mechanics, Library, Utility, Fabric",An item library core mode for the minecraft server Wynncraft.
Edit Mob Drops,Powerthegreat,"Server, Utility, Forge, NeoForge",Edit Mob Drops is an easily configurable mod that lets you edit what mobs drop.
Death Knell,Darkhax,"Client and server, Adventure, Utility, Fabric, Forge, Quilt",Spice up the game with new player death messages.
Benched,SuperMartijn642,"Client and server, Decoration, Food, Fabric, Forge, NeoForge, Quilt",Benched adds unique Picnic Benches!
Sprint Indicator,Roundaround,"Client, Decoration, Fabric, Quilt",Simple UI element showing whether you're currently sprinting.
Creeper Confetti,SR2610,"Client and server, Game Mechanics, Mobs, Forge",Replacing Creeper Explosions with harmless Confetti since 2014
GalacticTweaks,ROMVoid95,"Client and server, Technology, Utility, Forge",Tweaking Mod for Galacticraft
Mutationcraft,ASEStefan,"Client and server, Cursed, Magic, Mobs, Forge",This mod adds new parasite mutant creatures into the game
Angry Mobs,Mrbysco,"Client and server, Mobs, Forge",Allows a pack developer to add additional AI goals to existing mobs
Knowledges,KrLite,"Client, Decoration, Utility, Fabric, Quilt",What You See is Knowledge!
TerraFirmaCraft,eerussianguy,"Client and server, Adventure, Game Mechanics, World Generation, Forge, NeoForge",TerraFirmaCraft (TFC) is a total conversion mod that overhauls and reinvents survival mode.
Spectrum Jetpacks,Maya,"Client and server, Equipment, Magic, Utility, Fabric, Quilt",Adds jetpacks but instead of energy it runs on ink from spectrum!
EndlessIDs,FalsePattern,"Client and server, Utility, Forge",A rewrite of NotEnoughIDs for 1.7.10 with even more IDs!
More Doors,afraidmonster,"Client and server, Decoration, Technology, Utility, Fabric, Forge",A Fabric & Forge Mod which adds a variety of new Doors & Trapdoors perfect for Building and Decoration.
Maintenance Mode,hypherionsa,"Server, Utility, Fabric, Forge, Quilt",Put your server in Maintenance Mode
Waypoints,Fisch37,"Magic, Management, Transportation, Data Pack, Fabric, Forge, Quilt",Brings waypoints to Vanilla Minecraft with a fully immersed survival experience.
Fire Overlay Controller,thegameratort,"Client, Utility, Fabric",Allows changing the in-game fire burning overlay opacity and height.
Mining Master,InfernalStudios,"Client and server, Adventure, Utility, World Generation, Forge",Adds 10 new Enchanting Ores to the world to spice up mining!
Better Suggestions,shurik204,"Client, Game Mechanics, Management, Utility, Fabric",Makes Minecraft command suggestions more useful.
Create Decoration Casing,TheLynk,"Client and server, Decoration, Forge",Create Decoration Casing is a mod that adds lots of block variants for minecraft and create mod casings to make buildings and decorations with this block and make wonderful builder and factory and Roleplay city
Deepslate Instamine,nicguzzo,"Client and server, Fabric, Forge","instamine deepslate and other blocks with eff5 haste2 netherite pickaxe, deepslate generator"
Simple Hydration,Boid,"Food, Game Mechanics, Data Pack, Fabric, Forge, Quilt",Adds a basic thirst bar to the HUD.
Markdown Manual,Sangar,"Client and server, Library, Fabric, Forge",Library mod for creating in-game manuals.
Gravel's Extended Battles,Drai,"Client and server, Game Mechanics, Library, Utility, Fabric, Forge","This library mod adds new moves, abilities and types to the Cobblemon mod for use in addons."
Dynamic Surroundings: Fabric Edition,OreCruncher,"Client, Adventure, Fabric",Alters the fabric of Minecraft experience by weaving a tapestry of sound and visual effects
Erroring Entity Remover,The-Fireplace,"Client or server, Utility, Fabric, Quilt",Removes entities that throw errors and crash the game while ticking.
DamageTint,Wyvest,"Client, Utility, Forge",Changes the color of entities that are hurt.
Homabric,rogi27,"Client or server, Adventure, Utility, Fabric, Quilt",?? Little yet powerful home management mod for Fabric
Neutrino,Frostwizard4,"Client and server, Adventure, Magic, Fabric","A Light, Quality of Life Fabric Mod for Minecraft, inspired by TCC & Quark!"
Cobblemon Info,Arcaryx,"Client and server, Mobs, Utility, Fabric, Forge",Cobblemon add-on for informational mod integration.
Effortless Building,Requios,"Client and server, Decoration, Game Mechanics, Utility, Forge, NeoForge","Makes building easier by providing tools like mirrors, arrays, build modes and a block randomizer. For survival and creative mode."
Plenty Plates,Fuzs,"Client and server, Game Mechanics, Fabric, Forge",Many new pressure plates for all your redstone needs. Greatly customizable!
Easy Craft of Chainmail Armor,BlackWolf00,"Server, Equipment, Fabric, Forge",With this mod you can craft the Chainmail Armor
Basic AIOTs,luligabi1,"Client and server, Equipment, Utility, Fabric",Adds AIOTs - All In One Tools - into the game.
Experimental Settings Disabler,Eruannie_9,"Client, Optimization, Utility, World Generation, Forge","Disables the experimental world icon, generation and loading warning settings."
Murder Drones Origins,Chris-The-Big,"Adventure, Game Mechanics, Technology, Data Pack, Fabric, Quilt","This is a Datapack which combines 2 of my previous custom Origins, the ""Disassembly Drone"" Origin and the ""Worker Drone"" Origin, while also adding a 3rd secret Origin in the mix (which you will probably know what it is if you have watched the series)"
Cake Delight,xhanhh,"Client and server, Food, Fabric, Quilt",Some interesting food ~
infineffect,reticivis,"Client, Utility, Fabric",A Fabric mod that shows the real duration of long effects instead of **:**
Better Name Visibility,Hoetty,"Client, Utility, Fabric",Increases the visibility of names behind blocks
Preventer,DasHomi,"Client, Utility, Fabric",A mod that prevents you from doing dumb things by accident.
TacoCraft,frqnny,"Client and server, Cursed, Food, Fabric",Adds Tacos to Minecraft Fabric 1.15.2+!
TexFix,Speiger,"Client, Optimization, Utility, Forge",Reduce the memory footprint of your textures
No Fade,UltimateBoomer,"Client, Fabric",Remove fade out animations in Minecraft
Utilities,ImExoOdeex,"Client and server, Adventure, Equipment, Fabric, Quilt",Rich coded accessories to enchant your game
Hide Nametags,greek,"Client, Optimization, Utility, Fabric",Hide all player and entity nametags with a single button!
Horizontal Portals,frikinjay,"Client and server, Adventure, Utility, World Generation, Fabric, Quilt","Adds Horizontal Nether Portals, Vertical End Portals and Aether Portals if The Aether is present."
Armour Weight,AnOpenSauceDev,"Server, Equipment, Game Mechanics, Library, Fabric, Quilt",A highly configurable mod that makes combat more enjoyable
